no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status
1,Graduate,1,613049,397664,240,900,1615923,1
1,Graduate,1,1397154,1733594,36,731,3159638,1
1,Not Graduate,1,2967511,1282263,360,717,6754562,1
2,Graduate,1,1121735,4462586,12,723,1383939,0
1,Graduate,1,811620,112468,12,747,741661,1
4,Not Graduate,1,482570,1090324,60,708,1284260,0
0,Graduate,1,324980,1710146,60,803,1052904,0
0,Graduate,1,1772076,1476473,36,737,1429998,1
2,Not Graduate,1,645151,419696,12,697,1145576,1
1,Not Graduate,0,24312,138253,240,631,281048,0
0,Graduate,0,188227,2519710,240,749,643995,0
0,Graduate,0,166087,333786,120,810,578750,1
0,Graduate,0,152974,402139,240,775,491337,0
2,Graduate,1,686094,4267542,360,668,1747639,1
0,Graduate,0,161505,151279,360,711,779438,1
0,Not Graduate,0,121804,1225534,120,857,68865,0
0,Not Graduate,1,441711,254285,120,797,992797,1
0,Not Graduate,1,1531982,248765,60,757,2429345,1
0,Graduate,1,1430429,638995,240,655,1824667,1
1,Not Graduate,1,266313,1062754,120,749,618786,0
0,Graduate,1,327122,1397507,240,860,947844,1
2,Graduate,1,573086,1593547,240,720,1150874,1
0,Graduate,1,364938,266575,240,486,969366,0
1,Graduate,1,2902738,172210,36,875,2718371,1
2,Not Graduate,1,621480,383600,120,790,960985,1
1,Graduate,0,57000,764883,360,644,428378,0
1,Graduate,1,1100098,439926,240,697,1848203,1
0,Not Graduate,0,67978,50000,60,690,148328,1
0,Graduate,1,753328,86926,36,675,1552348,1
1,Not Graduate,1,1962450,424865,120,703,4858646,1
4,Graduate,1,376971,1270855,12,776,901239,0
1,Graduate,1,2902457,218677,120,849,3417174,1
1,Not Graduate,1,260464,1124749,36,654,416093,0
2,Graduate,1,1363014,121042,60,785,2493269,1
1,Graduate,1,237012,697716,36,639,711443,0
0,Graduate,1,566615,702817,240,810,248770,1
1,Graduate,1,785949,863491,360,740,1694271,1
3,Graduate,1,494174,197149,360,706,250884,1
0,Graduate,1,630749,114963,36,687,1506899,1
1,Graduate,1,240487,1116882,12,806,456280,0
0,Not Graduate,1,331054,117458,12,594,511609,0
1,Graduate,0,38983,249968,240,806,189920,0
0,Graduate,1,746937,2173137,240,662,2065164,1
1,Graduate,0,99337,640426,12,777,554637,0
2,Not Graduate,1,2104150,781330,360,723,1684802,1
0,Not Graduate,1,274870,1009267,60,614,860029,0
1,Graduate,1,546192,973954,360,680,991324,1
2,Not Graduate,1,486734,528985,360,634,463017,0
3,Graduate,1,1193057,219383,36,593,1201870,0
0,Graduate,1,758069,7913318,12,741,562869,0
0,Graduate,1,668952,403271,240,565,1059837,0
0,Graduate,1,166812,752417,240,645,684402,0
4,Graduate,0,162761,839145,60,743,585053,0
3,Graduate,1,612766,317124,120,623,1370528,0
1,Not Graduate,0,118117,353030,240,814,561451,1
2,Not Graduate,1,400772,2393417,60,886,350681,0
1,Graduate,1,353393,258079,12,845,921891,1
1,Graduate,1,2420368,816212,120,751,4711824,1
0,Graduate,1,176558,1323584,12,696,749924,0
2,Graduate,0,52486,436200,60,720,356754,0
0,Graduate,1,2384246,491941,12,851,3604473,1
2,Graduate,1,1217849,1406908,36,600,2843804,0
2,Graduate,0,41898,471017,60,557,144002,0
2,Not Graduate,1,1977367,67696,120,691,1676438,1
0,Graduate,1,1042871,2431170,240,730,2722441,1
0,Graduate,1,878637,203724,12,797,1061805,1
0,Graduate,1,873662,670297,60,790,1484727,1
0,Graduate,1,1058317,144671,12,840,2268514,1
0,Not Graduate,1,1093128,324201,360,712,1041116,1
3,Graduate,1,4226050,349239,60,704,4632727,1
1,Not Graduate,1,624112,643174,360,722,1702542,1
0,Not Graduate,1,639704,224777,60,614,576603,0
0,Graduate,0,123656,3924834,360,828,276464,0
1,Graduate,1,699752,553785,120,682,2169003,1
1,Not Graduate,1,3237492,1304123,12,683,7400541,1
1,Not Graduate,1,1603321,535601,12,730,3403945,1
3,Graduate,1,472156,1464856,60,642,896948,0
1,Not Graduate,1,747158,66128,36,690,799073,1
4,Not Graduate,1,258551,267066,240,753,1019311,1
2,Graduate,1,335945,320681,240,831,880808,1
0,Graduate,0,8109,318097,36,732,323154,0
3,Not Graduate,1,491116,907707,120,863,1045317,1
0,Graduate,1,316260,972052,360,689,388834,1
2,Graduate,1,1079353,501795,36,562,2516801,0
0,Graduate,1,682965,514372,360,585,1118006,0
2,Graduate,1,208138,6202801,36,750,305305,0
2,Graduate,1,138674,747577,120,686,240969,0
2,Not Graduate,1,462309,58383,60,802,584858,1
2,Graduate,1,204717,1167193,360,727,634872,0
0,Graduate,0,15431,945496,12,718,119803,0
0,Graduate,1,1799780,1722599,360,618,3756017,0
1,Graduate,1,674570,983033,360,509,1623625,0
0,Graduate,1,589861,218653,240,671,661304,1
1,Graduate,1,627359,1315864,360,611,1360793,0
0,Graduate,1,293529,596781,240,578,411956,0
3,Graduate,1,1013358,1538262,240,724,701873,1
1,Graduate,1,657000,2540570,36,780,997241,0
2,Graduate,1,397946,478367,60,746,778444,1
0,Not Graduate,1,448604,1297301,60,742,455518,0
2,Graduate,1,273220,1519137,360,640,792302,0
3,Graduate,1,527026,633331,36,601,1230966,0
1,Graduate,0,189656,3828908,120,622,303886,0
1,Graduate,1,516160,1537307,120,798,424242,1
2,Graduate,1,762321,300923,60,693,1423691,1
0,Graduate,0,50761,700871,36,866,328335,0
1,Graduate,1,877309,1277184,360,799,1034869,1
0,Not Graduate,1,1551104,3686136,240,864,1252114,1
0,Not Graduate,1,1172230,1005360,12,711,2988358,1
0,Graduate,1,1565431,721768,60,728,3666564,1
0,Graduate,0,148998,1912294,240,593,570922,0
0,Graduate,1,485584,433889,60,712,1324497,1
0,Not Graduate,0,3403,200790,12,782,115294,0
3,Not Graduate,1,1248161,1092256,360,900,2798279,1
1,Graduate,0,113423,370212,120,660,245822,0
3,Graduate,1,1189765,8168280,60,616,603309,1
1,Graduate,0,131654,695906,360,801,755392,0
0,Graduate,0,134339,1098953,36,630,563759,0
1,Graduate,1,714231,288276,120,671,1215619,1
1,Graduate,1,240975,1913798,120,874,574904,0
0,Graduate,1,515421,525997,240,674,1183164,1
1,Not Graduate,0,95595,477091,36,783,302784,0
0,Not Graduate,1,857884,488687,360,832,486048,1
1,Graduate,1,4594451,148537,60,659,11133713,1
1,Graduate,0,81325,420615,60,690,518615,0
0,Not Graduate,1,1329872,933004,36,698,359925,1
0,Graduate,1,96041,115221,120,727,582754,1
2,Graduate,1,729278,1501040,60,625,779799,0
1,Graduate,1,1208600,413189,60,675,2838511,1
0,Graduate,1,1425897,690193,60,468,1665158,0
4,Graduate,1,384840,57871,12,618,1223169,0
0,Graduate,1,1674913,676702,36,752,2099599,1
1,Graduate,1,475931,190394,12,783,537329,1
4,Graduate,1,639679,380233,12,774,545378,1
0,Graduate,1,515731,112705,240,850,1118882,1
0,Graduate,1,293868,223712,60,798,211173,1
0,Not Graduate,1,2560660,458833,12,672,4234352,1
0,Graduate,1,757981,411781,36,776,1639969,1
0,Graduate,1,1740798,1308681,240,610,1527824,0
1,Graduate,1,1682462,83443,240,633,3633240,0
0,Graduate,1,336262,513307,360,730,741467,1
1,Graduate,1,1929751,489391,120,627,1750126,0
4,Graduate,0,120573,341872,120,563,187777,0
2,Graduate,1,317197,216813,240,740,571505,1
1,Graduate,1,1044533,1626883,36,794,1695501,0
0,Graduate,1,321780,4187915,12,802,663770,0
1,Graduate,0,25410,97337,120,830,502372,1
1,Graduate,1,1398665,214446,12,790,993947,1
1,Graduate,0,107970,197924,36,666,60191,0
0,Graduate,1,2006380,407778,12,701,2996440,1
2,Graduate,1,205748,1897116,240,681,681582,0
1,Graduate,1,400523,915907,120,699,1381272,1
0,Graduate,1,596040,463308,36,750,1176766,1
0,Graduate,1,4362464,549279,240,673,10350233,1
1,Graduate,1,309778,392773,36,644,884322,0
2,Graduate,1,186121,1131038,360,714,514869,0
2,Graduate,1,229691,1277397,120,871,493142,0
2,Graduate,1,1506007,976078,12,796,3853472,1
0,Not Graduate,1,453452,60081,36,617,618436,0
1,Not Graduate,1,642248,547512,120,648,1065008,0
1,Graduate,0,126692,448410,360,789,336216,0
0,Graduate,1,642763,1456145,360,722,649082,1
0,Graduate,1,858822,686324,240,640,2097617,0
2,Graduate,1,1119253,942921,120,791,413099,1
0,Graduate,1,516824,329292,12,687,1406545,1
1,Graduate,1,638544,1382492,120,721,466701,1
0,Not Graduate,1,885195,1855778,240,673,1560964,1
0,Graduate,1,1460871,106192,240,601,1976715,0
0,Graduate,1,386970,147828,36,657,775337,1
3,Graduate,1,65090,1158288,240,747,287185,0
2,Graduate,1,1256281,454797,60,667,2458810,1
3,Not Graduate,1,1532134,1511652,240,655,1218210,1
1,Not Graduate,1,856001,688190,12,601,1844468,0
0,Not Graduate,1,904045,1080427,240,716,1729454,1
1,Graduate,1,464423,255956,36,719,1109894,1
1,Graduate,0,85522,759027,240,632,395678,0
2,Graduate,1,1443430,761185,120,714,2681028,1
0,Graduate,1,763140,271334,360,719,558277,1
1,Graduate,1,5000000,1471353,360,729,8849525,1
0,Graduate,1,208773,81200,120,724,684021,1
0,Graduate,0,177593,665109,120,651,251907,0
2,Graduate,0,31574,148141,60,730,262569,1
1,Graduate,1,1474569,194404,36,705,2827224,1
0,Graduate,1,205832,1448424,120,724,549861,0
0,Graduate,1,250913,179885,120,772,505656,1
1,Graduate,1,439525,172449,360,785,1137440,1
2,Graduate,0,58486,965423,120,757,154559,0
2,Graduate,1,452988,177942,360,741,1287683,1
3,Graduate,1,456638,1495856,360,812,872708,1
2,Not Graduate,1,631142,1029522,36,639,1131052,0
0,Graduate,1,600914,248290,360,616,270673,0
1,Graduate,0,85658,1440319,120,816,564644,0
1,Graduate,1,1262657,77763,60,803,1113029,1
0,Not Graduate,1,562608,866737,120,782,628347,1
2,Graduate,1,3904379,155401,12,685,8932911,1
0,Graduate,1,1080926,320199,60,846,2599317,1
3,Graduate,0,35687,341563,12,641,571577,0
1,Graduate,0,144299,1946215,120,659,391981,0
1,Graduate,0,118171,327328,120,610,328181,0
1,Graduate,1,420794,499508,36,664,1071599,1
2,Not Graduate,1,314265,348650,360,714,1003361,1
1,Not Graduate,1,781653,202270,12,667,557231,0
1,Graduate,1,546791,192855,12,758,1297190,1
0,Graduate,1,2381645,735810,240,739,1785945,1
1,Graduate,1,1319712,526291,240,761,2827493,1
0,Not Graduate,1,436865,1158360,240,804,943283,1
2,Graduate,1,1025561,424189,240,812,1873242,1
1,Not Graduate,1,2010115,438160,12,714,2381366,1
1,Graduate,1,239176,1162115,36,726,176257,0
0,Graduate,0,132838,372462,240,655,576615,1
0,Not Graduate,1,722928,128079,12,884,1284220,1
2,Graduate,1,750489,1261165,36,600,696739,0
0,Graduate,0,40766,274541,36,629,357804,0
0,Graduate,1,568853,577744,240,668,185870,1
0,Graduate,1,561940,288799,12,500,359365,0
3,Graduate,1,991928,204331,60,690,1702080,1
2,Graduate,1,1806955,80925,12,714,1688250,1
0,Graduate,1,496449,758551,36,647,939419,0
0,Not Graduate,0,138313,50000,120,718,240108,1
0,Not Graduate,1,3500978,1979480,240,591,3289369,0
2,Graduate,1,2112546,1516652,36,625,4701874,0
1,Graduate,1,1200185,217618,60,757,2007981,1
0,Graduate,1,3635984,2645188,60,751,7966051,1
0,Graduate,1,578334,4243076,60,726,1308890,0
0,Graduate,1,374713,411137,60,770,944128,1
1,Not Graduate,1,478888,815022,360,705,408068,1
2,Not Graduate,1,326977,619253,12,757,90413,0
0,Graduate,1,804069,2454947,36,668,1677756,0
0,Graduate,1,927144,134237,60,610,1454595,0
0,Graduate,1,856553,430468,36,716,1756676,1
3,Graduate,1,722198,1355116,36,793,2185402,1
0,Graduate,1,811405,1218990,120,696,563911,1
2,Graduate,1,2925743,517721,12,651,4950745,1
1,Not Graduate,0,47912,2174503,120,747,303969,0
0,Graduate,0,153598,682473,240,581,493071,0
0,Not Graduate,1,849694,605433,240,757,1017620,1
0,Graduate,1,200291,1084948,360,606,568751,0
1,Graduate,1,170910,508441,240,738,488033,1
2,Not Graduate,1,3860271,568218,120,809,9851568,1
1,Not Graduate,1,476652,245906,36,623,752063,0
1,Graduate,1,445342,10154250,360,858,653255,0
0,Graduate,1,887825,336578,240,790,2177083,1
3,Not Graduate,1,1132935,1120453,360,764,1561044,1
2,Graduate,1,1253549,3644478,240,675,2892779,1
0,Graduate,1,3016279,141093,120,797,6393402,1
3,Graduate,1,2423174,995673,36,717,6145477,1
1,Not Graduate,1,381266,553027,240,733,402369,1
1,Not Graduate,1,1583245,3251840,12,851,2133131,0
2,Not Graduate,0,62901,217681,240,736,46841,0
2,Graduate,1,653431,254675,120,724,1872977,1
1,Graduate,0,142950,514058,120,712,386660,0
0,Graduate,1,188252,329880,12,652,69034,0
0,Not Graduate,1,711229,341370,36,749,798181,1
3,Graduate,1,339494,4107927,12,693,818197,0
0,Graduate,1,1532254,613565,360,825,2956456,1
0,Graduate,1,582530,246548,240,816,539160,1
1,Graduate,1,933664,365851,120,680,1152717,1
1,Not Graduate,1,2178224,810082,36,699,4830433,1
1,Graduate,1,222295,757188,240,612,337331,0
3,Not Graduate,1,408524,303378,12,518,665197,0
0,Graduate,0,113338,106082,360,748,524848,1
0,Not Graduate,1,936607,513733,240,666,1819273,1
0,Not Graduate,1,1763477,500020,12,766,507945,1
2,Graduate,1,1459672,283188,60,635,3776265,0
1,Not Graduate,1,788231,1943070,60,687,1323309,0
0,Graduate,1,929799,959893,120,701,2186947,1
2,Not Graduate,1,950611,618355,36,698,1262555,1
2,Not Graduate,1,225084,376731,120,552,500907,0
2,Not Graduate,1,643643,3057256,240,778,691481,1
3,Graduate,1,889823,170335,360,699,1813686,1
0,Graduate,0,61149,328865,60,603,227116,0
2,Graduate,1,348191,343736,120,812,531881,1
1,Graduate,1,264332,728658,12,815,148492,0
2,Not Graduate,1,604631,1046419,36,724,1094095,0
2,Not Graduate,1,3519723,141977,60,701,6407218,1
2,Not Graduate,1,378738,272498,36,685,815055,1
1,Graduate,1,1865692,845466,36,622,3368762,0
0,Not Graduate,1,2591614,277854,60,702,1849242,1
1,Not Graduate,0,179418,361574,12,542,215265,0
4,Not Graduate,1,423420,642193,360,800,1356878,1
3,Graduate,0,62618,202820,12,647,489673,0
0,Graduate,1,852554,713267,12,578,1873114,0
0,Graduate,1,366853,997053,36,606,629474,0
0,Graduate,1,430609,561511,12,703,460354,0
2,Graduate,1,1048492,2247623,240,742,1271427,1
2,Not Graduate,1,1539167,1116179,360,676,573831,1
0,Graduate,1,563412,518698,240,657,1230876,1
1,Graduate,1,690169,391826,12,629,1424768,0
2,Graduate,1,1245329,3124295,12,785,1595168,0
2,Not Graduate,1,635400,278881,60,759,776414,1
1,Not Graduate,1,574088,411608,60,731,195989,1
1,Not Graduate,1,398605,358679,120,609,1138531,0
1,Graduate,1,393112,804360,36,668,442774,0
0,Graduate,0,169268,5153343,36,668,514171,0
1,Not Graduate,1,623459,691537,60,855,1451128,1
1,Graduate,1,2173928,391572,240,718,3460776,1
2,Graduate,1,2805787,652568,120,661,3533947,1
1,Graduate,0,149456,145385,60,859,290824,1
2,Graduate,1,979447,447850,360,776,2667724,1
0,Graduate,1,791735,2970034,360,778,1797981,1
1,Graduate,1,200838,1047576,120,821,485169,0
0,Graduate,1,210748,1850501,36,793,942856,1
0,Graduate,1,758485,1488599,360,669,1735411,1
2,Graduate,0,43201,265986,36,695,297197,0
4,Graduate,1,3312667,3656394,360,742,2089635,1
0,Graduate,0,89442,91486,36,719,442156,1
1,Graduate,1,3473742,753509,240,555,4752113,0
2,Graduate,0,159957,68895,60,590,653665,0
0,Graduate,0,71278,97410,360,708,491073,1
1,Graduate,1,1093768,1377202,360,560,1544884,0
2,Graduate,1,1144677,270673,360,598,519212,0
1,Graduate,1,484362,1876437,120,668,1181303,1
0,Not Graduate,1,1157223,61428,60,716,920015,1
0,Graduate,1,2825428,494593,36,762,6749744,1
2,Graduate,1,649616,160180,36,786,522680,1
1,Graduate,1,555977,389056,60,735,1435131,1
0,Not Graduate,1,598744,2541712,12,793,1133820,0
2,Graduate,0,161946,3242328,12,645,807149,0
0,Graduate,1,1445955,902504,60,625,2251474,0
2,Graduate,1,2322475,109686,36,694,2759374,1
0,Not Graduate,1,937430,161670,360,766,592742,1
3,Not Graduate,1,752725,634158,120,779,1603285,1
0,Graduate,1,1023926,241371,12,815,1602034,1
0,Graduate,1,1717064,1043376,360,756,4629902,1
0,Graduate,1,598573,2887567,360,875,847085,1
0,Not Graduate,1,2180231,202264,360,775,2860827,1
2,Graduate,1,977412,220783,60,704,1346494,1
4,Graduate,1,106401,165970,240,794,443964,1
0,Not Graduate,1,1478878,419048,60,842,1400194,1
1,Not Graduate,1,263591,569336,36,588,379802,0
2,Not Graduate,1,1450382,552153,60,673,2046898,1
2,Not Graduate,1,1500358,1326010,12,624,3121481,0
1,Not Graduate,0,156575,800483,12,697,354805,0
0,Graduate,1,1126859,509551,360,664,683897,1
1,Not Graduate,1,1756961,562932,60,753,2448960,0
1,Not Graduate,1,490655,588605,360,818,859091,1
0,Graduate,1,1376072,510015,120,817,2197337,1
1,Graduate,1,1849486,274549,60,784,1643441,1
0,Not Graduate,1,2981884,162255,120,737,5662439,1
2,Graduate,1,301153,622984,12,632,339286,0
0,Not Graduate,1,1011366,327977,240,811,950036,1
1,Graduate,1,338002,913559,120,822,350266,1
1,Graduate,0,164652,580696,60,432,417040,0
1,Graduate,1,972108,548484,36,891,2171920,1
0,Graduate,1,776044,1446234,36,582,1154454,0
1,Graduate,1,1823012,132639,60,639,3559174,0
1,Graduate,0,16012,3170022,12,763,485078,0
1,Graduate,1,655241,60780,12,617,1011985,0
1,Graduate,1,863892,2305471,12,708,1894456,0
1,Graduate,1,366054,660555,60,615,151173,0
2,Graduate,1,409030,319961,36,768,531430,1
0,Not Graduate,1,1781344,124040,240,690,4234773,1
2,Graduate,1,470163,296709,36,673,1368861,1
1,Graduate,1,1878494,458778,12,771,2863654,1
0,Graduate,1,1185707,656657,60,675,2535147,1
0,Graduate,1,211498,2293517,60,796,405722,0
0,Graduate,1,1114930,581527,240,650,2063350,1
2,Graduate,1,1107907,743894,36,636,1913961,0
2,Not Graduate,1,1023094,766901,12,723,665823,0
2,Not Graduate,1,651152,389438,240,743,1707110,1
1,Not Graduate,1,343844,445874,12,702,157278,0
1,Graduate,0,165227,485554,36,666,904875,1
0,Graduate,1,672485,1011004,240,621,1690001,0
0,Graduate,1,359789,216873,12,724,735015,1
1,Graduate,1,1051759,325599,120,722,1677318,1
0,Not Graduate,1,402631,771690,60,689,510849,1
0,Graduate,0,186059,184151,36,855,505226,1
1,Graduate,1,540160,605403,60,651,278214,1
2,Graduate,0,45626,313113,12,883,177365,0
4,Not Graduate,1,351584,895633,240,685,1097096,0
3,Not Graduate,1,1390438,2134670,12,804,1408711,0
1,Graduate,0,183921,313443,360,738,637692,1
1,Not Graduate,1,1986379,1152795,120,816,2394641,1
1,Graduate,1,368204,660401,120,890,529285,1
2,Not Graduate,0,82291,368125,36,734,621832,1
0,Not Graduate,1,821606,543960,60,641,1900546,0
1,Not Graduate,1,3219649,1978712,360,578,3160541,0
2,Graduate,1,1115473,455058,12,670,3175936,1
0,Graduate,1,5000000,2000899,360,813,7310305,1
1,Graduate,1,951359,479276,120,820,503060,1
1,Graduate,0,10634,131606,240,814,74099,0
0,Not Graduate,1,130054,466614,12,696,542734,0
0,Graduate,1,1027211,121746,36,800,1022822,1
0,Graduate,0,149536,393284,240,755,425465,0
0,Not Graduate,1,526529,378466,60,640,886422,0
0,Graduate,1,653813,3324585,36,675,870092,0
2,Graduate,1,690740,2701634,60,867,1488680,0
0,Graduate,0,125845,588538,60,589,298684,0
1,Graduate,0,18516,1814565,120,799,413172,0
0,Graduate,1,542156,363036,360,622,958916,0
3,Not Graduate,0,108148,129671,60,722,433023,1
0,Graduate,1,528014,916050,240,848,898838,1
1,Not Graduate,1,1365109,775592,240,752,936406,1
2,Graduate,0,30338,211603,240,708,205285,0
2,Graduate,1,583075,221172,360,693,1346003,1
0,Graduate,1,156252,1382725,12,826,373272,0
2,Graduate,1,886154,100355,360,774,1700219,1
1,Graduate,1,569400,944282,120,809,865088,1
1,Graduate,1,694819,394559,360,798,299678,1
0,Graduate,1,283235,945589,120,787,206011,1
0,Graduate,0,188119,1451786,240,736,713098,0
2,Graduate,0,190566,225409,12,652,584294,1
1,Graduate,1,2291150,172789,360,752,3349896,1
1,Not Graduate,1,1825899,2341462,60,689,2994633,1
2,Not Graduate,1,1171568,510330,60,570,2918435,0
2,Graduate,1,292486,749939,60,848,1034500,1
0,Graduate,1,3187379,1343475,120,620,2074968,0
1,Not Graduate,1,347281,206635,60,678,174450,1
0,Graduate,1,588465,1331693,12,632,1466299,0
2,Not Graduate,1,1284039,1024948,12,641,2139758,0
1,Graduate,1,1336056,2350227,360,624,1318969,0
3,Not Graduate,1,1152898,2309595,360,671,3007939,1
0,Graduate,1,529542,575754,60,729,882783,1
0,Not Graduate,1,448854,1147454,120,735,350728,1
0,Graduate,1,5000000,564983,36,780,5568981,1
0,Graduate,1,706832,624835,240,674,1587720,1
0,Graduate,1,640870,174755,60,489,130818,0
3,Graduate,1,412155,431708,60,800,1276574,1
0,Not Graduate,1,887120,89790,360,788,2324284,1
0,Graduate,1,854625,470955,240,656,1260089,1
2,Not Graduate,1,720009,2022900,36,778,958792,0
1,Graduate,1,989921,1176352,360,728,771629,1
2,Not Graduate,0,153759,604555,60,730,404915,0
0,Graduate,1,453140,441509,60,739,852641,1
1,Not Graduate,1,754995,314795,36,624,480462,0
0,Not Graduate,0,157431,215666,240,657,775159,1
0,Graduate,1,923345,1225266,12,744,1272933,0
3,Not Graduate,1,462880,116420,60,704,1129585,1
0,Not Graduate,1,479090,113776,60,707,1651210,1
1,Graduate,1,226926,1334887,360,798,814594,1
1,Graduate,1,788774,665206,120,486,1334047,0
0,Graduate,1,1028709,565138,36,810,1700782,1
2,Not Graduate,1,3231254,664679,60,717,8010465,1
0,Graduate,0,123213,4033260,120,705,479049,0
1,Graduate,1,509025,571510,360,738,615783,1
3,Graduate,1,245795,724538,360,676,627637,1
1,Graduate,1,274572,4231461,12,617,431887,0
3,Not Graduate,1,258718,507072,36,765,640916,1
0,Not Graduate,1,3276982,3036809,12,850,2628176,0
1,Graduate,1,918271,65708,120,803,1986514,1
0,Graduate,1,457543,169078,360,801,1219595,1
2,Graduate,1,338443,277070,240,578,822406,0
4,Graduate,1,367733,968972,360,779,936011,1
0,Graduate,1,448005,3185087,36,669,783655,0
1,Graduate,0,198032,299293,240,659,523877,1
0,Graduate,1,712150,1437264,120,705,1365433,1
1,Graduate,1,229125,5061761,36,828,322659,0
1,Not Graduate,1,4631389,2583771,60,632,3880906,0
3,Graduate,0,9636,360817,120,678,282738,0
1,Not Graduate,0,183244,1287950,360,591,312930,0
0,Graduate,1,2080493,758734,120,555,5304767,0
0,Graduate,1,1016747,279441,12,679,2575202,1
0,Not Graduate,1,500849,828434,240,803,715138,1
0,Graduate,1,272367,336445,360,811,530880,1
0,Graduate,1,336599,611918,360,727,784625,1
2,Graduate,1,353204,136162,36,713,363158,1
1,Graduate,1,733531,92694,360,655,1612448,1
1,Not Graduate,1,849879,405738,36,570,2320524,0
0,Graduate,1,647630,742769,60,591,529301,0
2,Graduate,1,706889,174929,36,819,1276941,1
2,Graduate,1,314714,914648,60,593,1180045,0
0,Graduate,1,922192,563966,36,560,2625975,0
2,Not Graduate,1,2031763,1035351,360,640,2953481,0
1,Not Graduate,0,127955,1391146,12,541,523685,0
0,Graduate,1,630438,2071071,360,798,839506,1
1,Graduate,1,779494,987836,120,702,1628139,1
1,Graduate,1,1784348,402212,36,670,805146,0
0,Graduate,1,356547,652693,120,742,996692,1
3,Not Graduate,0,50540,5549292,240,773,144422,0
2,Graduate,1,1021699,1447668,120,714,719043,1
1,Graduate,1,746345,580436,240,708,555387,1
1,Not Graduate,1,1925297,464848,36,597,3538383,0
1,Graduate,0,106785,297081,12,651,82852,0
1,Graduate,1,1107522,164851,12,767,1970338,1
1,Graduate,1,1029153,2982025,120,706,1590597,1
0,Not Graduate,1,345116,871960,12,814,909823,0
1,Not Graduate,1,1054429,151925,240,784,1556668,1
2,Graduate,1,914967,476708,12,539,2119839,0
1,Graduate,1,632230,1925099,12,747,1447564,0
0,Not Graduate,1,1454618,345607,360,707,3451187,1
2,Graduate,1,461665,239309,360,547,747014,0
0,Graduate,1,905513,772022,12,533,2264110,0
0,Not Graduate,0,123429,1043561,60,647,561456,0
0,Not Graduate,0,87256,346042,60,674,663132,1
0,Graduate,1,1090675,296695,120,773,2393930,1
2,Graduate,1,617732,856480,360,615,1375390,0
1,Graduate,0,181162,175457,36,851,756503,1
0,Graduate,1,172671,315463,360,765,389695,1
2,Not Graduate,1,1371267,479088,36,695,3785012,1
2,Graduate,0,119417,1131474,240,740,479273,0
2,Not Graduate,1,912102,352331,240,869,2412297,1
0,Graduate,1,762197,949116,120,689,1804472,1
1,Graduate,1,543168,1734162,60,691,1476298,1
4,Graduate,1,3489729,325644,12,751,455503,1
2,Not Graduate,1,842171,13563981,60,609,1457528,0
0,Graduate,0,98154,2234613,360,705,240626,0
0,Graduate,1,916074,709597,60,652,2328984,1
1,Graduate,1,606080,450545,360,780,1192021,1
3,Graduate,1,718362,310109,120,703,1271705,1
1,Graduate,1,2342745,2845558,60,778,5394752,1
1,Graduate,1,1741895,666969,36,687,1565531,1
0,Graduate,1,3476682,128178,60,584,1679465,0
1,Graduate,0,73596,97526,36,841,259908,1
2,Graduate,1,361656,604672,240,632,641080,0
0,Graduate,1,512771,618124,240,715,735880,1
2,Graduate,1,282032,215999,360,734,769207,1
3,Graduate,1,1347329,118843,120,781,1991182,1
0,Graduate,1,456464,75880,12,834,1372232,1
1,Not Graduate,1,63306,252879,60,680,204444,0
0,Graduate,0,149791,375965,12,629,158872,0
2,Graduate,1,462091,1079243,36,512,1264924,0
1,Graduate,1,459882,474333,12,693,538795,0
1,Not Graduate,1,2778132,1565924,60,508,1325839,0
2,Graduate,1,277450,989615,360,618,641005,0
0,Graduate,1,1810809,902776,12,699,1323725,1
3,Graduate,1,455907,1438697,12,831,252696,0
1,Graduate,1,252954,135037,12,690,870415,1
0,Not Graduate,1,2854976,316081,120,772,1134724,1
1,Not Graduate,1,1526483,5964969,12,710,353903,0
2,Graduate,1,1522707,80319,60,704,2750733,1
0,Not Graduate,1,978840,401196,360,790,1445570,1
2,Not Graduate,1,1177944,869913,60,730,2859606,1
3,Graduate,1,272194,82707,12,668,424632,1
0,Graduate,1,797541,254567,120,811,1501987,1
4,Graduate,1,346968,3976832,36,658,484140,0
0,Graduate,1,240108,640779,12,617,320206,0
0,Graduate,0,190905,304232,120,605,533824,0
0,Graduate,1,1842289,666949,240,673,3309147,1
2,Not Graduate,1,536759,303653,60,713,1037025,1
1,Not Graduate,0,140613,2995200,240,733,577974,0
0,Graduate,0,107455,200580,60,687,188693,0
1,Graduate,0,114517,320362,36,677,82355,0
1,Not Graduate,1,1339840,121513,360,732,3193431,1
0,Not Graduate,0,30502,402139,120,795,274408,0
2,Not Graduate,1,1128207,453810,36,435,3109507,0
2,Graduate,1,444744,1786270,240,541,718183,0
1,Graduate,1,433608,195490,120,787,1357094,1
3,Graduate,0,138708,876444,240,672,409513,0
1,Not Graduate,1,1396666,589321,12,777,1261309,1
4,Graduate,1,635650,81429,240,591,1396653,0
1,Not Graduate,1,518690,261633,36,704,942373,1
1,Graduate,1,1855746,251434,36,596,1195580,0
0,Not Graduate,0,65114,2908184,12,737,208456,0
2,Graduate,1,1324765,932595,120,678,1494881,1
1,Graduate,1,653779,624477,240,578,1064897,0
