no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status,total_assets,loan_to_income,loan_to_asset
0,Graduate,1,7700000,18100000,18,705,6300000,Approved,6300000,2.350649045370254,2.87301541698168
3,Not Graduate,1,7000000,15200000,2,709,4000000,Approved,4000000,2.171428261224534,3.7999990500002374
4,Not Graduate,1,7800000,19500000,14,739,4400000,Approved,4400000,2.4999996794872206,4.431817174587006
3,Graduate,0,5100000,11000000,6,336,7500000,Rejected,7500000,2.1568623221838585,1.4666664711111372
4,Graduate,0,9400000,32600000,4,898,10200000,Approved,10200000,3.468084737437794,3.196078118031557
4,Not Graduate,1,600000,2100000,6,558,300000,Approved,300000,3.4999941666763887,6.999976666744444
3,Graduate,0,5100000,13300000,4,589,6100000,Approved,6100000,2.607842625913211,2.1803275114217193
2,Graduate,1,3800000,14400000,2,301,2400000,Rejected,2400000,3.7894726869808717,5.999997500001042
2,Not Graduate,1,5300000,21200000,14,516,7700000,Rejected,7700000,3.999999245283161,2.7532463956822864
5,Not Graduate,0,1100000,3600000,12,315,1400000,Rejected,1400000,3.2727242975233657,2.5714267346951893
3,Not Graduate,0,6400000,14400000,10,546,5100000,Rejected,5100000,2.249999648437555,2.8235288581315965
0,Not Graduate,1,5100000,14500000,14,559,6000000,Approved,6000000,2.843136697424177,2.4166662638889562
3,Graduate,1,5300000,16900000,2,350,6800000,Approved,6800000,3.188678643645539,2.4852937521626837
1,Graduate,0,6700000,18700000,8,583,6900000,Approved,6900000,2.791044359545618,2.7101445347616617
2,Not Graduate,0,4000000,9400000,8,874,4800000,Approved,4800000,2.349999412500147,1.9583329253473072
2,Not Graduate,1,3900000,11600000,8,808,5000000,Approved,5000000,2.9743582117030227,2.319999536000093
1,Graduate,1,1600000,4900000,16,487,2000000,Rejected,2000000,3.0624980859386963,2.4499987750006125
3,Graduate,0,2700000,7800000,14,870,2100000,Approved,2100000,2.8888878189304372,3.7142839455790737
3,Graduate,0,1400000,3800000,8,840,1500000,Approved,1500000,2.7142837755115887,2.5333316444455702
4,Not Graduate,1,8000000,19200000,18,682,5300000,Approved,5300000,2.3999997000000377,3.6226408259168252
3,Graduate,1,8200000,28900000,10,668,10900000,Approved,10900000,3.5243898140988033,2.651375903543495
5,Graduate,1,4800000,10300000,8,781,4300000,Approved,4300000,2.1458328862848153,2.3953482801515626
4,Graduate,0,8100000,19000000,6,375,11900000,Rejected,11900000,2.3456787227557134,1.5966385212908805
4,Not Graduate,0,5900000,14900000,14,857,3500000,Approved,3500000,2.525423300775712,4.257141640816674
5,Graduate,1,8100000,32100000,6,823,6500000,Approved,6500000,3.9629624737083367,4.938460778698341
0,Graduate,0,1400000,5000000,8,686,1500000,Approved,1500000,3.5714260204099855,3.3333311111125927
1,Graduate,0,1600000,6300000,2,721,900000,Approved,900000,3.937497539064038,6.999992222230865
4,Graduate,0,4600000,9400000,18,545,6300000,Rejected,6300000,2.0434778166352574,1.4920632552280548
1,Not Graduate,0,2900000,8900000,6,523,1800000,Rejected,1800000,3.068964458977773,4.94444169753239
2,Graduate,1,8600000,24900000,20,607,5400000,Approved,5400000,2.895348500540872,4.611110257201804
4,Not Graduate,0,3800000,14900000,20,428,2500000,Rejected,2500000,3.9210515997232633,5.959997616000954
0,Not Graduate,0,8200000,20300000,4,666,7800000,Approved,7800000,2.475609454193969,2.602563768902081
3,Graduate,0,3200000,10100000,20,704,3900000,Approved,3900000,3.1562490136721832,2.589742925706942
0,Not Graduate,1,8100000,23800000,10,794,8800000,Approved,8800000,2.9382712421887356,2.7045451472107787
1,Graduate,1,9800000,23300000,12,430,13900000,Rejected,13900000,2.3775507778009413,1.6762588722115919
0,Not Graduate,0,200000,500000,20,615,200000,Approved,200000,2.4999875000625,2.4999875000625
0,Not Graduate,0,6600000,14100000,20,360,7800000,Rejected,7800000,2.1363633126722252,1.8076920759369133
0,Not Graduate,0,9100000,18300000,14,458,10000000,Rejected,10000000,2.0109887900012318,1.8299998170000182
2,Not Graduate,0,5500000,20400000,12,887,3300000,Approved,3300000,3.7090902347108665,6.181816308540513
4,Not Graduate,0,7200000,27400000,8,735,9500000,Approved,9500000,3.805555027006246,2.8842102227147133
1,Not Graduate,0,2400000,5600000,16,379,3400000,Rejected,3400000,2.333332361111516,1.6470583391004885
4,Graduate,0,9600000,25500000,20,544,11100000,Rejected,11100000,2.6562497233073206,2.2972970903335956
1,Graduate,1,5800000,16700000,12,721,7500000,Approved,7500000,2.8793098483948536,2.2266663697778175
4,Not Graduate,0,2300000,6000000,8,676,2200000,Approved,2200000,2.6086945179589054,2.7272714876038693
1,Not Graduate,0,300000,1200000,4,342,200000,Approved,200000,3.999986666711111,5.999970000149999
0,Not Graduate,0,9900000,27000000,16,566,11500000,Approved,11500000,2.7272724517906615,2.3478258827977494
2,Not Graduate,0,3500000,14000000,2,355,2900000,Approved,2900000,3.9999988571431837,4.827584542212227
2,Graduate,0,4800000,18500000,20,605,5800000,Approved,5800000,3.854165863715445,3.189654622473341
2,Not Graduate,0,1600000,5200000,16,525,1600000,Rejected,1600000,3.2499979687512695,3.2499979687512695
5,Graduate,1,800000,2500000,12,403,800000,Rejected,800000,3.124996093754883,3.124996093754883
1,Graduate,1,9000000,33500000,18,727,5300000,Approved,5300000,3.722221808642021,6.320753524386127
1,Graduate,0,8300000,28900000,12,529,5800000,Rejected,5800000,3.481927291334061,4.982757761593489
4,Graduate,0,2800000,6100000,18,415,2000000,Rejected,2000000,2.178570650510482,3.0499984750007627
1,Graduate,1,6400000,17300000,10,879,8200000,Approved,8200000,2.703124577636785,2.109755840273678
2,Not Graduate,1,6000000,12600000,16,649,5100000,Approved,5100000,2.099999650000058,2.470587750865147
0,Graduate,0,2900000,9800000,16,395,2400000,Rejected,2400000,3.379309179548559,4.083331631945153
0,Graduate,0,6500000,24100000,20,488,9700000,Rejected,9700000,3.707691737278194,2.4845358263365127
1,Graduate,1,200000,400000,8,569,300000,Approved,300000,1.9999900000499997,1.3333288889037036
1,Not Graduate,0,8400000,24600000,14,817,8200000,Approved,8200000,2.928571079932014,2.999999634146386
1,Graduate,1,6100000,17800000,20,706,4300000,Approved,4300000,2.918032308519294,4.139533921038623
2,Graduate,1,8000000,31200000,8,553,10300000,Approved,10300000,3.899999512500061,3.029125919502338
5,Not Graduate,1,900000,1800000,14,464,700000,Rejected,700000,1.999997777780247,2.5714248979644316
2,Graduate,0,7300000,20000000,6,729,9100000,Approved,9100000,2.7397256520923765,2.1978019562854993
4,Not Graduate,1,3700000,7400000,12,363,4400000,Rejected,4400000,1.9999994594596056,1.6818177995868637
2,Graduate,0,5200000,17200000,12,565,6300000,Approved,6300000,3.3076916715977553,2.7301582968002704
1,Graduate,0,7200000,21000000,14,421,4600000,Rejected,4600000,2.9166662615741306,4.565216398866
0,Not Graduate,1,9400000,34200000,10,512,6300000,Rejected,6300000,3.6382974852875014,5.428570566893561
3,Not Graduate,1,3400000,12400000,2,730,4600000,Approved,4600000,3.6470577508653674,2.695651587901829
0,Graduate,0,600000,2300000,8,627,300000,Approved,300000,3.8333269444550924,7.666641111196296
0,Not Graduate,1,3300000,10000000,16,434,4100000,Rejected,4100000,3.030302112029663,2.43902379536005
2,Graduate,1,5900000,14300000,2,410,4100000,Rejected,4100000,2.423728402757898,3.4878040273648714
3,Not Graduate,0,1300000,3600000,16,624,1900000,Approved,1900000,2.769228639054893,1.894735844875871
4,Graduate,1,5700000,16900000,4,656,8400000,Approved,8400000,2.9649117605417965,2.0119045223923187
2,Not Graduate,0,7700000,27300000,16,758,9100000,Approved,9100000,3.545454085005963,2.9999996703297067
4,Not Graduate,1,7000000,23500000,18,336,7800000,Rejected,7800000,3.357142377551089,3.012820126561522
5,Graduate,0,8100000,21900000,18,378,9600000,Rejected,9600000,2.703703369913164,2.2812497623698165
1,Graduate,1,1900000,4200000,4,620,900000,Approved,900000,2.2105251523551828,4.6666614814872425
2,Graduate,0,4500000,9100000,18,593,2500000,Approved,2500000,2.022221772839606,3.639998544000582
0,Not Graduate,1,9600000,34000000,12,710,7800000,Approved,7800000,3.541666297743094,4.358973800131564
1,Not Graduate,1,5400000,20700000,8,753,3600000,Approved,3600000,3.8333326234569216,5.749998402778221
1,Not Graduate,1,7800000,27200000,16,454,11400000,Rejected,11400000,3.4871790401052514,2.3859647029855524
1,Graduate,1,8200000,19100000,8,619,6600000,Approved,6600000,2.329268008625853,2.8939389554637946
2,Graduate,0,8900000,28500000,6,367,9300000,Rejected,9300000,3.202246831208221,3.0645157995144303
1,Graduate,0,1400000,3100000,20,384,1800000,Rejected,1800000,2.214284132654191,1.7222212654326303
2,Graduate,0,1700000,5900000,16,610,1300000,Approved,1300000,3.470586193772827,4.538458047339963
0,Graduate,0,5300000,19500000,12,802,3200000,Approved,3200000,3.6792445888217755,6.09374809570372
3,Graduate,0,6500000,25200000,10,858,8100000,Approved,8100000,3.8769224804734645,3.111110727023367
2,Graduate,0,5900000,14000000,8,599,6700000,Approved,6700000,2.3728809537489908,2.089551926932548
4,Graduate,1,9800000,27000000,2,395,9700000,Rejected,9700000,2.7551017596834937,2.7835048676799103
3,Graduate,1,7700000,16200000,6,380,6400000,Rejected,6400000,2.103895830662879,2.5312496044922494
1,Graduate,0,7900000,27100000,10,803,6600000,Approved,6600000,3.4303793126102136,4.106059983930305
4,Graduate,0,3500000,8900000,20,809,3200000,Approved,3200000,2.542856416326738,2.7812491308596465
4,Not Graduate,0,2400000,6600000,2,722,3000000,Approved,3000000,2.7499988541671443,2.1999992666669113
5,Graduate,0,9900000,35700000,10,392,13000000,Rejected,13000000,3.606060241812097,2.7461536349112587
0,Graduate,0,3900000,14500000,8,545,3400000,Rejected,3400000,3.717947764628778,4.264704628028051
2,Not Graduate,1,7300000,28500000,10,799,4300000,Approved,4300000,3.9041090542316366,6.627905435370829
0,Graduate,1,6400000,21900000,12,727,5300000,Approved,5300000,3.421874465332115,4.132074692061379
4,Graduate,0,7100000,19800000,18,530,7100000,Rejected,7100000,2.788732001587042,2.788732001587042
2,Not Graduate,0,8800000,19000000,14,637,6100000,Approved,6100000,2.1590906637396974,3.1147535877453136
5,Graduate,0,7400000,21000000,4,561,3900000,Approved,3900000,2.83783745434629,5.384614003945127
2,Not Graduate,0,4400000,12000000,20,421,3400000,Rejected,3400000,2.7272721074381576,3.529410726643904
3,Graduate,1,8600000,30300000,14,459,9100000,Rejected,9100000,3.5232554042726276,3.3296699637725315
3,Not Graduate,0,6900000,26000000,14,828,3600000,Approved,3600000,3.768115395925305,7.22222021604994
4,Graduate,0,9600000,27500000,20,679,6300000,Approved,6300000,2.864583034939267,4.365078672209735
2,Graduate,1,8100000,25700000,8,455,9500000,Rejected,9500000,3.1728391144643067,2.705262873130224
0,Not Graduate,0,2600000,9400000,18,879,2300000,Approved,2300000,3.615383224852606,4.086954744802285
3,Graduate,1,9300000,26100000,14,636,11600000,Approved,11600000,2.8064513111342677,2.2499998060344994
2,Not Graduate,1,2100000,5600000,16,426,1200000,Rejected,1200000,2.6666653968260015,4.666662777781019
4,Not Graduate,1,9000000,21500000,14,508,13100000,Rejected,13100000,2.3888886234568196,1.6412212487617368
3,Not Graduate,1,7000000,19200000,4,768,7700000,Approved,7700000,2.7428567510204642,2.4935061696745233
3,Not Graduate,0,2200000,6400000,20,667,2900000,Approved,2900000,2.9090895867774607,2.2068957907255893
5,Graduate,1,7500000,28200000,2,440,6000000,Approved,6000000,3.7599994986667333,4.699999216666797
1,Graduate,1,8300000,16800000,2,366,4500000,Rejected,4500000,2.0240961416751637,3.7333325037038882
2,Not Graduate,0,300000,600000,2,383,400000,Rejected,400000,1.9999933333555555,1.499996250009375
0,Not Graduate,1,300000,800000,4,603,200000,Approved,200000,2.666657777807407,3.9999800000999994
3,Graduate,0,3900000,14900000,4,728,5500000,Approved,5500000,3.8205118408943997,2.709090416529015
0,Not Graduate,0,6600000,20300000,6,549,9800000,Rejected,9800000,3.0757571097337713,2.0714283600583308
0,Graduate,0,4100000,10700000,8,855,3100000,Approved,3100000,2.6097554610352534,3.4516117898026484
5,Graduate,1,1800000,5300000,12,461,2000000,Rejected,2000000,2.944442808642884,2.6499986750006626
3,Not Graduate,1,7000000,16100000,16,379,10000000,Rejected,10000000,2.299999671428618,1.609999839000016
2,Not Graduate,1,5100000,13700000,6,559,5100000,Approved,5100000,2.6862739830835327,2.6862739830835327
1,Not Graduate,1,300000,600000,8,816,200000,Approved,200000,1.9999933333555555,2.9999850000749997
4,Not Graduate,1,4300000,11400000,2,560,3300000,Approved,3300000,2.6511621741483316,3.454544407713816
0,Graduate,1,3200000,12000000,14,645,3400000,Approved,3400000,3.7499988281253662,3.529410726643904
4,Not Graduate,1,4200000,11500000,6,551,5000000,Approved,5000000,2.7380945861679558,2.299999540000092
0,Not Graduate,1,9600000,22900000,8,515,7800000,Rejected,7800000,2.3854164181857898,2.935897059500377
4,Graduate,0,1300000,3600000,10,657,1100000,Approved,1100000,2.769228639054893,3.2727242975233657
3,Not Graduate,0,2400000,9300000,2,682,1500000,Approved,1500000,3.8749983854173395,6.199995866669422
0,Graduate,0,600000,1600000,10,588,300000,Approved,300000,2.6666622222296295,5.333315555614814
5,Graduate,1,9600000,38000000,10,359,9400000,Rejected,9400000,3.9583329210069875,4.042552761430557
0,Graduate,0,400000,1200000,4,766,300000,Approved,300000,2.99999250001875,3.999986666711111
4,Graduate,0,5900000,19900000,14,469,3200000,Rejected,3200000,3.3728807842574944,6.218748056641232
0,Graduate,1,700000,1400000,10,618,500000,Approved,500000,1.9999971428612244,2.7999944000112
0,Not Graduate,1,8600000,17700000,20,711,7400000,Approved,7400000,2.0581392955651983,2.3918915686633015
0,Graduate,1,9000000,34000000,4,549,12400000,Approved,12400000,3.777777358024738,2.7419352627471563
3,Graduate,1,5100000,20400000,6,754,7600000,Approved,7600000,3.999999215686428,2.6842101731302406
4,Not Graduate,1,500000,1500000,6,461,200000,Rejected,200000,2.999994000012,7.499962500187499
2,Graduate,0,1600000,3800000,10,837,1600000,Approved,1600000,2.374998515625928,2.374998515625928
0,Graduate,1,9800000,23900000,14,459,7200000,Rejected,7200000,2.438775261349463,3.319443983410558
4,Graduate,0,7800000,29700000,20,614,6300000,Approved,6300000,3.80769181952669,4.714284965986513
4,Not Graduate,0,6500000,24000000,16,373,6700000,Rejected,6700000,3.6923071242604424,3.582089017598654
5,Graduate,1,7500000,26500000,12,512,6000000,Rejected,6000000,3.533332862222285,4.416665930555678
4,Graduate,1,8900000,23400000,18,781,5800000,Approved,5800000,2.629213187728855,4.0344820630203335
4,Graduate,1,1800000,5800000,14,305,2000000,Rejected,2000000,3.22222043209976,2.899998550000725
1,Not Graduate,1,7600000,27800000,6,447,10900000,Rejected,10900000,3.6578942555402296,2.5504584816093137
4,Graduate,1,1200000,4600000,6,757,1500000,Approved,1500000,3.833330138891551,3.0666646222235854
5,Graduate,1,2700000,10400000,2,723,1400000,Approved,1400000,3.8518504252405834,7.42856612245277
1,Not Graduate,1,4600000,10900000,12,463,6600000,Rejected,6600000,2.369564702268543,1.651514901285621
2,Not Graduate,0,6900000,18700000,10,699,5200000,Approved,5200000,2.7101445347616617,3.5961531545859318
4,Graduate,1,8400000,25200000,2,308,10500000,Approved,10500000,2.9999996428571856,2.399999771428593
0,Graduate,0,300000,500000,18,702,100000,Approved,100000,1.6666611111296297,4.999950000499995
2,Not Graduate,1,9500000,37500000,4,456,12900000,Approved,12900000,3.94736800554021,2.9069765188390297
3,Graduate,1,1900000,5900000,8,651,1500000,Approved,1500000,3.1052615235465666,3.9333307111128595
3,Not Graduate,0,4200000,14500000,20,840,4600000,Approved,4600000,3.4523801303856834,3.152173227788429
4,Graduate,1,2200000,7900000,18,848,1600000,Approved,1600000,3.5909074586784278,4.937496914064429
5,Graduate,1,7100000,19700000,4,727,5800000,Approved,5800000,2.7746474965285217,3.3965511385256657
4,Graduate,0,3500000,11600000,10,335,2300000,Rejected,2300000,3.314284767347209,5.0434760680538835
5,Not Graduate,0,400000,800000,18,304,400000,Rejected,400000,1.9999950000125,1.9999950000125
2,Graduate,1,8800000,34400000,2,712,5900000,Approved,5900000,3.9090904648760834,5.830507486354663
0,Not Graduate,0,1800000,6600000,10,737,1500000,Approved,1500000,3.6666646296307612,4.399997066668623
1,Graduate,1,7600000,29300000,14,690,9100000,Approved,9100000,3.8552626506233354,3.2197798659582566
1,Graduate,1,1000000,3200000,4,888,1300000,Approved,1300000,3.1999968000032,2.461536568048794
2,Not Graduate,1,8200000,27200000,10,839,6000000,Approved,6000000,3.317072766210638,4.533332577777903
5,Not Graduate,1,3600000,12400000,8,333,4000000,Rejected,4000000,3.4444434876545866,3.0999992250001935
5,Graduate,0,9400000,23700000,18,862,5600000,Approved,5600000,2.521276327523795,4.232142101403197
5,Not Graduate,0,2600000,9100000,4,309,3400000,Approved,3400000,3.4999986538466716,2.676469801038294
5,Not Graduate,0,9500000,30700000,10,823,13100000,Approved,13100000,3.231578607202252,2.343511271487689
0,Graduate,1,3500000,11700000,14,649,4800000,Approved,4800000,3.342856187755375,2.4374994921876056
5,Not Graduate,1,9800000,35700000,10,726,12000000,Approved,12000000,3.642856771137064,2.974999752083354
4,Graduate,0,800000,3100000,18,712,1100000,Approved,1100000,3.8749951562560545,2.818179256200676
0,Not Graduate,0,9700000,37300000,20,701,10500000,Approved,10500000,3.845360428313358,3.5523806140589893
3,Graduate,0,6200000,21300000,12,655,5000000,Approved,5000000,3.4354833168575296,4.25999914800017
1,Not Graduate,1,4400000,16600000,18,385,5100000,Rejected,5100000,3.772726415289451,3.2549013225683683
2,Graduate,0,1800000,3800000,4,777,1400000,Approved,1400000,2.1111099382722567,2.7142837755115887
3,Graduate,0,1700000,5300000,14,696,800000,Approved,800000,3.1176452249145736,6.624991718760351
3,Graduate,0,3900000,14100000,16,496,2900000,Rejected,2900000,3.6153836883631567,4.862067288942314
2,Graduate,1,2200000,7900000,6,659,2400000,Approved,2400000,3.5909074586784278,3.2916652951394605
3,Not Graduate,1,6300000,17700000,2,542,5300000,Rejected,5300000,2.80952336356772,3.3396220113920734
2,Not Graduate,0,2200000,8700000,18,729,1300000,Approved,1300000,3.9545436570256105,6.692302544382658
1,Graduate,0,8100000,28400000,6,744,7700000,Approved,7700000,3.506172406645382,3.6883112093102324
4,Not Graduate,0,6800000,17000000,2,749,9400000,Approved,9400000,2.499999632352995,1.808510445903144
0,Graduate,0,4700000,14800000,20,755,3700000,Approved,3700000,3.1489355002264894,3.999998918919211
3,Graduate,1,2200000,5300000,2,506,2800000,Rejected,2800000,2.4090898140500845,1.892856466836976
3,Graduate,1,3500000,13000000,6,391,4300000,Rejected,4300000,3.7142846530615277,3.0232551108709043
1,Not Graduate,1,3500000,11600000,10,898,4500000,Approved,4500000,3.314284767347209,2.577777204938399
5,Not Graduate,0,500000,1500000,12,527,200000,Rejected,200000,2.999994000012,7.499962500187499
5,Not Graduate,0,9900000,35800000,20,470,14700000,Rejected,14700000,3.616161250892803,2.4353739839881645
1,Graduate,0,8400000,25000000,12,694,7700000,Approved,7700000,2.9761901218821283,3.246752825097036
1,Graduate,0,5000000,18800000,14,325,4300000,Rejected,4300000,3.7599992480001503,4.372092006490231
4,Not Graduate,1,5500000,13400000,10,880,2800000,Approved,2800000,2.43636319338851,4.785712576531223
5,Graduate,1,3000000,11900000,14,459,4200000,Rejected,4200000,3.9666653444448854,2.833332658730319
3,Not Graduate,1,9400000,21400000,10,323,11300000,Rejected,11300000,2.2765955024898403,1.893805142141138
4,Graduate,0,7600000,29000000,8,739,8800000,Approved,8800000,3.815788971606714,3.295454170971117
0,Not Graduate,1,5500000,16300000,10,724,6200000,Approved,6200000,2.9636358247934864,2.6290318340271237
1,Graduate,0,3100000,7400000,18,487,4500000,Rejected,4500000,2.3870960041625793,1.6444440790124268
3,Graduate,0,7700000,27700000,4,439,6200000,Approved,6200000,3.5974021302075156,4.46774121488045
2,Graduate,0,9800000,25400000,2,655,7900000,Approved,7900000,2.5918364702207684,3.2151894664317133
3,Not Graduate,0,3200000,9200000,14,443,4500000,Rejected,4500000,2.8749991015627807,2.0444439901235576
2,Graduate,0,700000,2600000,20,489,900000,Rejected,900000,3.7142804081708456,2.888885679015912
4,Not Graduate,1,3100000,8600000,14,427,3700000,Rejected,3700000,2.774192653486241,2.324323696128731
0,Graduate,1,4500000,10500000,20,417,5800000,Rejected,5800000,2.33333281481493,1.8103445154578421
5,Not Graduate,1,8900000,24800000,18,842,8100000,Approved,8100000,2.786516540840838,3.061728017070615
3,Not Graduate,0,5900000,23200000,2,307,6300000,Approved,6300000,3.932202723355471,3.682539098009667
2,Not Graduate,0,1500000,4500000,18,428,1100000,Rejected,1100000,2.9999980000013333,4.090905371904207
4,Not Graduate,1,6300000,15200000,16,415,7900000,Rejected,7900000,2.4126980297304716,1.9240503893607102
3,Not Graduate,1,6500000,18200000,20,405,6700000,Rejected,6700000,2.7999995692308355,2.7164175050123127
4,Graduate,0,8000000,31500000,18,683,9600000,Approved,9600000,3.9374995078125616,3.2812496582031607
1,Graduate,1,3300000,10600000,14,742,4500000,Approved,4500000,3.2121202387514427,2.3555550320988816
4,Not Graduate,0,3900000,10000000,10,530,1900000,Rejected,1900000,2.564101906640537,5.2631551246551975
3,Graduate,0,1600000,3500000,10,844,1600000,Approved,1600000,2.1874986328133543,2.1874986328133543
2,Not Graduate,1,3900000,13900000,18,715,2100000,Approved,2100000,3.564101650230346,6.619044467121682
3,Graduate,1,8000000,26300000,12,476,9000000,Rejected,9000000,3.2874995890625516,2.9222218975309002
2,Graduate,0,2200000,4800000,6,721,2200000,Approved,2200000,2.1818171900830956,2.1818171900830956
4,Not Graduate,0,7600000,30300000,12,339,5800000,Rejected,5800000,3.9868415806787394,5.224137030321201
5,Not Graduate,1,2700000,6800000,6,461,1700000,Rejected,1700000,2.5185175857342275,3.9999976470602077
2,Graduate,1,6300000,23200000,12,556,5300000,Approved,5300000,3.682539098009667,4.377357664649497
3,Not Graduate,0,7700000,18700000,8,483,10200000,Rejected,10200000,2.4285711131725827,1.8333331535947888
2,Graduate,0,4500000,17200000,18,406,3300000,Rejected,3300000,3.822221372839695,5.21211963269102
2,Graduate,1,9400000,24800000,14,513,7500000,Rejected,7500000,2.638297591670469,3.3066662257778368
0,Not Graduate,0,4600000,12600000,16,574,3600000,Approved,3600000,2.7391298393196,3.4999990277780477
0,Graduate,1,5200000,15700000,6,692,5500000,Approved,5500000,3.019230188609579,2.8545449355372843
5,Graduate,1,8000000,29800000,18,867,9200000,Approved,9200000,3.7249995343750584,3.239130082703252
1,Not Graduate,1,9900000,38500000,2,875,6500000,Approved,6500000,3.888888496071869,5.92307601183446
4,Graduate,1,8500000,18600000,10,597,11600000,Approved,11600000,2.188235036678231,1.6034481376337812
2,Graduate,1,4900000,12000000,20,513,4800000,Rejected,4800000,2.448979092045083,2.499999479166775
3,Graduate,1,7000000,24200000,2,354,7900000,Approved,7900000,3.4571423632653766,3.0632907514821834
2,Not Graduate,0,9600000,25900000,18,647,11500000,Approved,11500000,2.6979163856337096,2.2521737172022855
1,Graduate,0,9700000,23700000,6,875,10400000,Approved,10400000,2.4432987171856992,2.2788459347263523
1,Graduate,0,6200000,14300000,20,819,4300000,Approved,4300000,2.3064512408949613,3.325580621957995
4,Not Graduate,1,4100000,9600000,10,521,4900000,Rejected,4900000,2.341462843545648,1.9591832736360666
0,Graduate,1,6100000,19900000,20,761,7100000,Approved,7100000,3.2622945471648284,2.8028165066455624
0,Graduate,0,700000,1900000,18,572,300000,Approved,300000,2.7142818367402333,6.333312222292593
3,Graduate,0,6400000,24100000,12,571,7500000,Approved,7500000,3.765624411621186,3.213332904888946
4,Graduate,1,3800000,7800000,20,891,3300000,Approved,3300000,2.0526310387813056,2.3636356473831373
1,Not Graduate,0,4900000,14800000,12,895,5200000,Approved,5200000,3.0204075468556026,2.8461532988166733
2,Graduate,0,2100000,6600000,20,580,2100000,Approved,2100000,3.142855646259216,3.142855646259216
2,Graduate,0,6200000,23400000,8,605,9200000,Approved,9200000,3.7741929396463,2.543477984404567
4,Not Graduate,0,1600000,5100000,8,705,1900000,Approved,1900000,3.187498007813745,2.6842091135741506
1,Not Graduate,1,1300000,5000000,20,423,1600000,Rejected,1600000,3.8461508875762402,3.124998046876221
5,Not Graduate,1,7300000,22500000,2,846,5700000,Approved,5700000,3.0821913586039233,3.9473677285319773
2,Not Graduate,0,2100000,5000000,4,542,3100000,Rejected,3100000,2.380951247166073,1.6129027055152563
5,Not Graduate,0,600000,2400000,18,631,900000,Approved,900000,3.9999933333444444,2.666663703706996
4,Graduate,0,7000000,24500000,18,318,3600000,Rejected,3600000,3.4999995000000714,6.805553665123982
1,Not Graduate,1,3000000,6800000,10,541,2900000,Rejected,2900000,2.266665911111363,2.3448267776459386
1,Graduate,0,900000,2900000,20,782,800000,Approved,800000,3.222218641979287,3.6249954687556643
2,Graduate,0,9600000,35000000,2,888,5800000,Approved,5800000,3.6458329535590672,6.034481718192807
0,Graduate,0,1500000,3600000,14,747,1200000,Approved,1200000,2.3999984000010666,2.9999975000020833
0,Graduate,1,5000000,18900000,6,641,6700000,Approved,6700000,3.7799992440001513,2.82089510135894
3,Graduate,1,500000,1700000,4,640,200000,Approved,200000,3.3999932000136,8.4999575002125
4,Not Graduate,0,7600000,28100000,12,324,11100000,Rejected,11100000,3.697367934556851,2.5315313034656484
4,Graduate,0,5500000,21200000,20,359,6400000,Rejected,6400000,3.8545447537191357,3.312499482421956
0,Not Graduate,1,6600000,23300000,12,338,9300000,Rejected,9300000,3.530302495408713,2.5053760746907447
0,Graduate,0,1400000,3200000,14,384,2000000,Rejected,2000000,2.2857126530623906,1.5999992000004
5,Not Graduate,1,8800000,26600000,16,545,7600000,Rejected,7600000,3.022726929235576,3.4999995394737446
5,Not Graduate,0,6200000,24200000,18,610,8300000,Approved,8300000,3.903225176899165,2.915662299317795
2,Graduate,1,8300000,27900000,18,840,9200000,Approved,9200000,3.361445378139111,3.03260836602083
3,Not Graduate,0,2400000,8100000,6,630,2300000,Approved,2300000,3.3749985937505858,3.521737599244522
1,Graduate,0,9100000,31200000,4,508,7800000,Approved,7800000,3.428571051805379,3.999999487179553
0,Not Graduate,1,9500000,34900000,4,535,14000000,Approved,14000000,3.6736838238227554,2.492856964795931
1,Graduate,0,1200000,3400000,20,717,900000,Approved,900000,2.8333309722241897,3.7777735802515773
2,Graduate,1,7700000,19300000,8,735,10400000,Approved,10400000,2.5064931809749114,1.8557690523298989
5,Graduate,1,7800000,22000000,20,528,4900000,Rejected,4900000,2.820512458908659,4.489795002082652
0,Graduate,1,9400000,20000000,4,350,4700000,Rejected,4700000,2.127659348121346,4.2553182435493095
0,Not Graduate,0,1700000,5700000,12,422,900000,Rejected,900000,3.3529392041534094,6.333326296304115
5,Graduate,0,4000000,13700000,6,496,3700000,Rejected,3700000,3.424999143750214,3.702701701972513
4,Not Graduate,0,4200000,15500000,18,794,2200000,Approved,2200000,3.6904753117915923,7.045451342976662
2,Graduate,0,2400000,7700000,6,719,1600000,Approved,1600000,3.208331996528335,4.81249699218938
3,Not Graduate,1,2700000,6100000,14,630,2300000,Approved,2300000,2.2592584224968806,2.6521727599248868
3,Not Graduate,1,600000,1800000,4,843,400000,Approved,400000,2.9999950000083335,4.499988750028125
2,Graduate,0,4600000,15600000,2,764,5800000,Approved,5800000,3.3913036105861716,2.6896547086802225
3,Graduate,0,7200000,17700000,4,662,5300000,Approved,5300000,2.4583329918981955,3.3396220113920734
0,Not Graduate,0,4700000,15500000,16,311,2700000,Rejected,2700000,3.297871638750715,5.740738614541254
4,Not Graduate,0,4300000,10100000,2,606,5500000,Approved,5500000,2.348836663061241,1.8363633024793995
